,title,context,question,id,answers,document_id,__index_level_0__
0,미국 상원,"미국 상의원 또는 미국 상원(United States Senate)은 양원제인 미국 의회의 상원이다.\n\n미국 부통령이 상원의장이 된다. 각 주당 2명의 상원의원이 선출되어 100명의 상원의원으로 구성되어 있다. 임기는 6년이며, 2년마다 50개주 중 1/3씩 상원의원을 새로 선출하여 연방에 보낸다.\n\n미국 상원은 미국 하원과는 다르게 미국 대통령을 수반으로 하는 미국 연방 행정부에 각종 동의를 하는 기관이다. 하원이 세금과 경제에 대한 권한, 대통령을 포함한 대다수의 공무원을 파면할 권한을 갖고 있는 국민을 대표하는 기관인 반면 상원은 미국의 주를 대표한다. 즉 캘리포니아주, 일리노이주 같이 주 정부와 주 의회를 대표하는 기관이다. 그로 인하여 군대의 파병, 관료의 임명에 대한 동의, 외국 조약에 대한 승인 등 신속을 요하는 권한은 모두 상원에게만 있다. 그리고 하원에 대한 견제 역할(하원의 법안을 거부할 권한 등)을 담당한다. 2년의 임기로 인하여 급진적일 수밖에 없는 하원은 지나치게 급진적인 법안을 만들기 쉽다. 대표적인 예로 건강보험 개혁 당시 하원이 미국 연방 행정부에게 퍼블릭 옵션(공공건강보험기관)의 조항이 있는 반면 상원의 경우 하원안이 지나치게 세금이 많이 든다는 이유로 퍼블릭 옵션 조항을 제외하고 비영리건강보험기관이나 보험회사가 담당하도록 한 것이다. 이 경우처럼 상원은 하원이나 내각책임제가 빠지기 쉬운 국가들의 국회처럼 걸핏하면 발생하는 의회의 비정상적인 사태를 방지하는 기관이다. 상원은 급박한 처리사항의 경우가 아니면 법안을 먼저 내는 경우가 드물고 하원이 만든 법안을 수정하여 다시 하원에 되돌려보낸다. 이러한 방식으로 단원제가 빠지기 쉬운 함정을 미리 방지하는 것이다.날짜=2017-02-05",대통령을 포함한 미국의 행정부를 견제할 수 있는 권한은 어느 국가기관에 있습니까?,mrc-1-000067,"{'answer_start': [235], 'text': ['하원']}",18293,42
1,강희제,"강희제는 강화된 황권으로 거의 황제 중심의 독단적으로 나라를 이끌어 갔기에 자칫 전제 독재의 가능성이 보일 수도 있었으나, 스스로 황권을 조절하고 정치의 일부는 재상들이나 대신들과 의논하였으며 당시 궁핍하게 살고 있는 한족들의 사정을 잘 알고 있던 한족 대신들의 의견을 수용하여 정책을 실행하고 선정을 베풀었다. 프랑스의 예수회 선교사 부베는 루이 14세에게 다음과 같이 보고하였다. \n강희제는 세상에서 가장 부유한 군주입니다. 그럼에도 황제인 그의 생활용품들은 사치스러움과 화려함과는 거리가 멀다 못해 소박하기 그지없습니다. 역대 제왕들 가운데 전례없는 일입니다.\n강희제 스스로도 자신이 직접 쓴 《근검록》에서 다음과 같이 쓰고 있다\n모든 비용은 백성들의 피땀으로 얻어진 것이니 주인된 황제로서 절제하고 절제함은 당연한 것이 아닌가\n\n이런 강희제의 인자한 정치는 한족이 만주족의 청나라를 지지하게 만드는 데에 크게 일조하였다. 1717년(강희 56년) 강희제는 〈고별상유〉(告別上諭), 즉 마지막으로 백성들에게 바치는 글을 남겼는데 강희제는 “한 가지 일에 부지런하지 않으면 온 천하에 근심을 끼치고, 한 순간에 부지런하지 않으면 천추만대에 우환거리를 남긴다.”라고 역설하였다. 또한 “제왕이 천하를 다스림에 능력이 있는 자를 가까이 두고, 백성들의 세금을 낮추어 주어야 하며, 백성들의 마음을 하나로 묶고, 위태로움이 생기기 전에 나라를 보호하며, 혼란이 있기 전에 이를 먼저 파악하여 잘 다스리고, 관대하고 엄격함의 조화를 이루어 나라를 위한 계책을 도모해야 한다.”라고 후대의 황제에게도 이를 훈계하였다. 강희제는 황제로서 자식과 같은 백성들에게 이런 당부의 말을 남겨 황제로서의 도리를 다하려 하였다.",강희제는 1717년에 누구를 위해 쓰여졌는가?,mrc-1-000362,"{'answer_start': [510], 'text': ['백성']}",5028,230
2,호반,"제27회와 제73회에 출현한다. 관우는 자신을 저지하는 공수, 맹탄, 한복, 변희를 살해하면서까지 유비에게로 가려 한다. 형양태수 왕식은 그런 관우를 처치하고자 겉으로는 선심을 베푸는 척하며 관역(館驛)에서 하룻밤을 쉬게 한 후 호반에게는 은밀히 명령하기를, ‘천 명의 병사로 역사를 포위하면서 한 사람 한 사람마다 횃불을 들어 3경(更)이 되면 일제히 방화하여 모조리 불태워 죽이라’고 한다.\n\n명을 실행할 준비를 마치고 기다리는데 문득 ‘관운장의 명성을 들은 지 오래인데 그 모습을 모른다. 한번 엿봐야겠다’는 생각이 떠오른다. 관우는 대청에서 왼손으로 수염을 만지며 등불 아래 책을 보고 있었고, 호반은 자신도 모르게 천인(天人)이라고 소리 내어 감탄한다. 이에 누구냐고 묻는 관우에게 자신을 소개한다. 관우는 이전에 호반의 아버지 호화가 전해달라던 서신을 호반에게 건넨다. 호반은 아버지의 서찰을 읽어보고는 하마터면 충량한 이를 해칠 뻔 했다며 왕식의 계획을 모두 발설하고 자신이 성문을 열어 놓을테니 급히 빠져나가라고 한다. 덕분에 관우와 유비의 두 부인이 탈출한다. 호반은 그 후에야 왕식의 명을 수행해 불을 놓는다.\n\n그 후, 관우가 형주를 장악하고 있을 때 관우에게 귀순한다. 관우는 지난 일을 기억해 호반을 두터이 대한다. 219년(건안 24년), 유비가 한중왕(漢中王)에 오른 후 비시를 관우에게 보내 번성(樊城)을 취하라는 명령을 전한다. 관우는 호반한테 비시를 따라가 유비로부터 벼슬을 받으라 한다. 비시와 함께 촉으로 들어간 후로는 등장하지 않는다.",누가 관우를 불태워 죽이려 했습니까?,mrc-0-000532,"{'answer_start': [68], 'text': ['형양태수 왕식']}",24395,360
3,이스트앵글리아 왕국,"웨하가 동앵글리아의 초대 왕으로 기록되고, 그 뒤를 우파가 뒤를 잇던, 동앵글리아 왕국은 6세기 초에 형성되었다\n\n749년까지 이스트앵글리아의 왕들은 반신화적인 인물인 우파의 이름을 딴 우핑가스 왕조 출신들이었다. 이스트앵글리아의 래드왈드의 재위 당시인 7세기 초에, 앵글로색슨 왕국들은 평화로운 상태였다. 기독교 신자로 세례를 받은 첫 이스트앵글리아의 왕인 래드왈드는 우드브리지 인근 서튼후에서 배무덤 양식으로 묻힌 인물이라고 많은 학자들에게 여겨진다. 대략 624년경에 그가 사망하고나서 수십 년 동안에, 동앵글리아는 머시아 왕국의 서서히 지배를 받게 되었다. 래드왈드의 후임자들 몇몇은 전투 중에 사망했으며, 이중에는 기독교를 완전히 정착시킨 부르군트의 펠릭스 주교의 지도와 함께, 나라를 다스렸던 시게버트 (641년 전사)가 있었다.\n\n794년에 애설버트 2세가 머시아인들에게 사망하고부터 825년까지, 이스트앵글리아 왕국은 796년에 애드왈드의 잠깐의 시기를 제외하고는 독립 왕국으로서 기능을 상실했었다. 바이킹들이 전투에서 이스트앵글리아군과 전투 중에 전사한 순교왕 에드먼드를 패배시킨 869년까지 왕국은 남아있었다. 879년 이후 바이킹들은 이스트앵글리아에 영구적으로 정착했다. 903년에 추방당한 애슬링의 애설울드가 이스트앵글리아의 데인인들에게 자신의 조카인 대 애드워드에게 전쟁을 일으키게끔 부추겼다. 데인족들의 계속된 패배가 이어진 후인 917년경에 이스트앵글리아는 에드워드에게 복속되었고 잉글랜드 왕국으로 통합되었으며, 이후 백작령이 되었다.",우핑가스 왕조는 어디서 왔을까?,mrc-0-000425,"{'answer_start': [86], 'text': ['반신화적인 인물인 우파']}",19308,286
4,장면,"장면은 귀국전 국무총리에 임명되었으나 이듬해인 1951년 2월에 귀국한 후 정식으로 취임하였다. 귀국 무렵 대한민국 국회와 이승만은 갈등하고 있었다. 그는 중간에서 양자의 조정 역할을 하려 했으나 실패하였다 그는 귀국 즉시 총리직에 취임하지 않고, 1주일 간의 여유를 얻어 요인들을 만나 의논해 보았다 그는 “일반적으로 이 박사에 대한 평이 좋지 않아 총리직을 맡을 생각이 간절하지 않았으나 이왕 인준도 받았으니 하는 데까지 하다가 할 수 없으면 그만두라”라는 주변의 의견대로 총리직을 맡게 되었다 당초 이승만은 장면에게 인사권을 위임하겠다고 하였으나, “5석 중 3석을 총리가 정하였으니 내무에는 이순용(李淳鎔), 국방에는 이기붕을 써 주시오”하고 종용하자, 당초 약속과는 달랐으나 장면은 받아들였다 국무총리 재임 중 그는 호화로운 식단을 기피하고 직접 도시락을 싸들고 출퇴근하였다.\n\n \n8월에는 자유당이 창당되자 자유당에 입당했다. 12월에는 원외 자유당이 결성되면서 장면이 속한 자유당은 원내 자유당으로 불리게 되었다. 원내 자유당에서는 1952년 제2대 정부통령 선거에서 그를 대통령 후보로 추대하려는 일파와, 내각 책임제로 개헌하여 대통령직을 유명무실화하게 한 뒤 그를 내각 책임제 하의 국무총리로 추대하려는 세력이 나타났다. 흥사단도 장면을 지지하였다. 이후 흥사단의 지지를 이유로 장면은 흥사단계로 분류되었으나 장면은 이를 부정하였다. 장면을 대통령 후보로 추대하려는 세력과 내각책임제 개헌 후 장면을 총리로 추대하려는 세력의 존재가 이승만의 귀에 들어가면서 장면은 정치적으로 궁지에 몰리게 된다.",당신은 언제 한국으로 돌아 오셨나요?,mrc-0-001373,"{'answer_start': [26], 'text': ['1951년']}",6930,899
5,레위기,"너는 이스라엘 백성 온 회중에게 이렇게 일러주어라. '나 야훼 너희 하느님이 거룩하니, 너희도 거룩한 사람이 되어라. 레위기 19:2(공동번역성서)\n\n구약 성경 중의 한 부분. 모세오경의 3번째 책이다. '레위(Levi)'는 이스라엘의 12지파중에 레위 지파를 의미하는데, 레위 지파에서 하느님에게 제사를 드리는 사제와 보조자들이 나왔기 때문에 그들에 대한 지침서라는 의미를 가지고 있다.\n\n내용은 모세가 시나이산에서 하느님에게서 받은 율법을 기록한 것으로 전해진다. 전반부는 하느님께 어떻게 제사를 드릴 것인가를 기록했고, 후반부에는 정결한 것과 부정한 것을 구별하는것에 대해서 기록했다.\n\n탈출기의 후반부와 마찬가지로 성경을 읽는 사람들에겐 지루함을 주는 대목이지만, 유대인들에게는 매우 중요한 성서로 꼽힌다. 특히 레위기의 정결함과 부정함의 구별은 예수가 활동하던 당시의 유대교에서는 더 중요한 사상으로 간주되어 의로운 사람과 죄인을 구별하고 차별하는 경지에 이르렀는데, 예수는 이를 타파하려 했고 유대교 지도자들과 논쟁을 벌였다고 한다.\n\n레위기에 나오는 레위지파는 유대계 이름 리바이로 사용된다. 다만, 매튜나 존처럼 많이 쓰이는 이름은 아니다.",누가 유대교의 지나친 차별을 타파하려고 했나요?,mrc-1-001008,"{'answer_start': [497], 'text': ['예수']}",5251,652
6,권번,"권번은 주식회사 제도로 운영되었으며 일제가 그 관리를 주도하였다. 일제가 권번을 관리하기 쉽게 하고, 권번을 이용하는 일본인이 많아지면서 운영 면에서 편리를 취하기 위함이었다. 따라서 권번과 기생의 관계는 경제적 시각으로 본다면 일종의 사업체와 직원과도 같은 것이었다. 권번이 하는 기능은 모든 교육과정을 수료한 기생들이 요정에 나가는 것을 지휘하고 감독하는 것이었으며, 수수료를 챙기는 것에서 더 나아가 기생 양성 과정을 만들고 기생들의 수익을 나누었던 것이었다\n\n권번의 교육 과정으로는 판소리 (여창가곡, 가사, 시조, 남도소리, 잡가 등), 기악 (가야금, 거문고, 양금, 장구 등), 궁중무용, 민속무용, 서양댄스, 서화, 예법 등이 있었으며 기생으로서 필수적인 예능은 물론 일반교양까지 포괄하는 다양한 내용으로 수업이 진행되었다. 이러한 식으로 권번은 전통 예술과 대중들에게 인기높은 과목을 집중 교육시켜 요릿집 무대에 출연시켰고, 기생들이 기예를 통해 인지도를 높여나가는 중심 역할을 맡게 되었다 권번에서는 요릿집에 매일 '초일기' (草日記)라는 이름의 기생 명단을 보내 단골손님이 아니더라도 기생을 부를수 있게 했고, 예약도 받았는데 일류 명기는 일주일 전에 예약해야 할 정도로 인기가 높았다",권분이 식당에 제공한 기생 명단의 이름은 무엇입니까?,mrc-1-000732,"{'answer_start': [524], 'text': [""'초일기'""]}",47810,471
7,팀 웨이크필드,"2009년 웨이크필드는 레드삭스와 함께 자신의 15번째 시즌에 들어갔다. 4월 15일 웨이크필드는 테리 프랭코나 감독에게 ""난 상태들을 이해하고, 당신이 알아야 할 것이 있습니다. 무슨 일이 일어나던지 날 꺼내지 말고 내가 계속 갈수 있게 하시오.""라고 말하였다. 그는 8번째 이닝으로 무안타를 들고 가 완료 경기의 우승을 얻었다. 42세의 나이로 이 일은 그를 최연장 레드삭스의 투수가 완료 경기를 투구한 것으로 만들고, 이번에는 7 이닝과 비로 짧아진 경기인 2연속 완료 경기를 그가 투구할 때 그의 다음 출발에서 그가 깰 기록이었다.\n\n웨이크필드는 6월 27일을 통하여 10 승 3 패의 기록과 팀을 이끌었다. 7월 3일 자신의 출발과 함께 웨이크필드는 프랜차이즈 역사상 가장 많은 출발로 로저 클레멘스를 엎섰다. 투수판에 그의 성공은 그해의 올스타 선발 당시 10개의 우승과 함께 메이저 리그에 그를 정상으로 놓았다. 7월 5일 그는 아메리칸 리그의 올스타로서 공고되었고, 42세의 나이에 2번째 연장자 첫 올스타로 만들어졌다. 올스타 브레이크에 의하여 웨이크필드는 메이저 리그 최고 기록 11 승 3 패를 소유하였다. 웨이크 필드는 자신이 조 매던에 의하여 필요하지 않으면서 세인트루이스에서 활동을 보지 않았다. 웨이크필드는 아래 등과 종아리 부상과 함께 다음 6주를 놓쳤다. 그는 시카고 화이트삭스를 상대로 8월 26일 자신의 다음 출발을 이루어 하나의 득점과 함께 7개의 이닝을 투구하였다.",웨이크필드가 15번째 시즌에 뛰었던 팀의 이름은 무엇입니까?,mrc-0-000424,"{'answer_start': [13], 'text': ['레드삭스']}",52733,285
8,종로경찰서 폭탄투척 사건,"종로경찰서 폭탄투척 사건은 1923년 1월 12일 의열단원 김상옥이 종로경찰서에 폭탄을 투척한 사건이다.\n\n김상옥은 폭탄과 권총을 지닌 채 잠입하여 밤 8시 10분경 종로경찰서에 폭탄을 던졌다. 폭탄은 서쪽 경무계 사무실에서 터졌지만, 퇴근 시간 후에 벌어진 일이라 경찰 측 인명 피해는 없었다. 그 대신, 때마침 부근을 지나가던 매일신보 사원 5명과 민간인 7명이 파편에 맞아 중경상을 입었다. 그 후 삼판동으로 몸을 숨겼으나 일본 경찰의 추격을 받아 형사부장 마에무라[前村]와 경감 우메다[梅田]를 저격한 뒤 어의동으로 달아나 몸을 숨겼다.\n\n1월 22일, 위치가 발각되어 일본 경찰에 포위당해 3시간 동안 총격전을 벌인 끝에 권총으로 자결했다.\n\n학계에서는 폭탄투척의 실행자가 김상옥이라는 설이 정설이지만, 오래 준비해 온 사이토 마코토 총독 암살을 앞두고 일어난 일이라는 점, 자결했기 때문에 당사자의 진술이 없다는 점, 폭탄투척 당시에 목격자가 없다는 점 등을 근거로 다른 조직의 소행이라는 이설(異說)이 있다\n\n이 사건으로 김상옥은 1962년 건국훈장 대통령장에 추서되었다.",김상옥은 종로경찰서에 폭탄을 투척한 직후 어디로 피신했는가?,mrc-0-002035,"{'answer_start': [228], 'text': ['삼판동']}",48931,1340
9,윤치호,"혹자는 윤치호의 직계선조인 윤근수, 윤두수로 그의 문중은 당색으로는 서인 소론 계열 출신이었지만 당색에 구애됨없이 정약용의 《목민심서》, 《흠흠신서》, 유형원의 《반계수록》 등 남인계 실학자들이 쓴 저서들도 사서 탐독한 점을 높게 평가한다. \n\n잠이 적었던 그는 새벽에 비교적 많은 시간을 독서와 사색을 할 수 있었고, 나이가 들면서는 더욱 잠이 줄어들어 시간적인 여유가 많아졌다. 1894년 이후 조선에 수입된 커피 역시 그의 피로를 일시적으로 덜어주어 정력적인 독서와 사색의 시간을 돕는 역할을 한다.\n\n어젯밤 추도식을 지낸 다산 정약용이야말로 이조가 배출한, 아니 박해한 위대한 학자다. 그는 천주교로 개종했다는 의심을 받았다. 그의 정적들은 그를 비참하게 만들기 위해 수단과 방법을 가리지 않았다. 이 학자의 진가를 알고 있었던 정조(正祖)가 그를 어여삐 보지 않았더라면, 그는 아마 처형되고 말았을 것이다그는 16년 동안 유배생활을 하면서 매우 광범위한 주제를 다룬 70여 권의 귀중한 원고를 남겼다. 그런데 요즘에도 노론계에 속하는 인사들은 그가 남인이었다는 이유 하나만으로 그의 책을 읽지도, 사지도 않는다. \n\n윤치호는 다산 정약용을 가리켜 조선왕조가 낳은 위대한 천재라며 격찬했다\n\n1930년대 후반 일본 당국과 조선총독부는 조선인과 타이완 등의 식민지와 포로들에 대한 징집, 차출, 공출량을 늘렸으며 황국 신민 교육을 한층 강화했다. 동시에 무장단체들의 활동도 격해져 갔다. 윤치호는 사회가 미쳐돌아가고 있다며 일본과 조선인 간에 벌어지는 광기와 적개심을 비판하였다.",윤치호가 칭송한 조선시대 인물은 누구일까?,mrc-1-000027,"{'answer_start': [585], 'text': ['다산 정약용']}",5322,18
