,question,id,Q_tag
0,유령'은 어느 행성에서 지구로 왔는가?,mrc-1-000653,[WHAT]
1,용병회사의 경기가 좋아진 것은 무엇이 끝난 이후부터인가?,mrc-1-001113,[WHAT]
2,돌푸스에게 불특정 기간동안 하원이 잠시 쉬는 것을 건의 받았던 인물은?,mrc-0-002191,[WHO]
3,"마오리언어와 영어, 뉴질랜드 수화를 공식 언어로 사용하는 나라는?",mrc-0-003951,[WHERE]
4,디엔비엔푸 전투에서 보응우옌잡이 상대한 국가는?,mrc-1-001272,[WHERE]
5,단공류가 일반 포유류와 다르다는 것을 알 수 있는 신체 부위는?,mrc-1-000993,[WHAT]
6,상류 부르주아의 정치 독점을 불러일으킨 체계는?,mrc-0-005021,[WHAT]
7,아시노 호가 만들어진 원인은 무엇인가?,mrc-1-000163,[WHY]
8,흉년이 발생하고 곳곳에 난이 일어났던 시기는?,mrc-0-001283,[WHEN]
9,급전궤도는 보통 무엇으로 만들어져 있는가?,mrc-0-004543,[WHAT]
10,클레어에게 오세아닉 815편을 타라고 말한 사람의 이름은?,mrc-0-000439,[WHO]
11,제6군이 18일 동안이나 대기해야 했던 장소는?,mrc-0-002895,[WHERE]
12,누가 시장으로 선출되면서 트랜짓 시티 계획안이 불발되었나?,mrc-0-000535,[WHO]
13,1차 대각성 운동이 일어나는데 큰 영향을 끼친 설교는 어디서 진행되었는가?,mrc-1-001724,[WHERE]
14,괴수로부터 메구밍을 구해준 사람은 누구인가?,mrc-0-000901,[WHO]
15,슈파이어 대성당 2차 축조시에 가장 우선순위로 고려했던 천장 건축 방식은?,mrc-0-001606,[HOW]
16,통대를 뽑을 수 있었던 주체는 누구인가?,mrc-0-000266,[WHO]
17,이유립씨가 1970년대 중반에 본인의 글을 기고하기 시작한 곳은?,mrc-0-001326,[WHERE]
18,미군이 충원되지 않으면 서울이 전쟁 시작 후 2주만에 함락될 것이라 밝힌 문서는?,mrc-0-000032,[WHAT]
19,임경업 장군이 도를 닦은 곳으로 알려진 곳은?,mrc-0-005215,[WHERE]
20,화재에서 인종을 구한 공으로 귀인으로 직위가 오른 사람은?,mrc-0-005407,[WHO]
21,초등학생 일기검사의 인권침해 여부를 판단하는 주체는?,mrc-0-003683,[WHAT]
22,콘스탄티누스가 군사 4만 명을 이끌고 침범한 나라는?,mrc-0-003644,[WHERE]
23,불보살이 천도할 대상은?,mrc-0-002835,[WHO]
24,루돌로지스트들이 게임에서 가장 주된 것이라 주장하는 것은?,mrc-0-000049,[WHAT]
25,조조에게 신고한 사람도 조사해야한다고 한 것은 누구인가?,mrc-1-001829,[WHO]
26,나카무라 번이 메이지 정부에 굴복하게 된 결투의 이름은 무엇인가요?,mrc-1-001662,[WHAT]
27,펌프가 발매된 해는 언제인가?,mrc-0-001206,[WHEN]
28,밀러허긴스가 법학을 전공한 곳은?,mrc-0-004007,[WHERE]
29,유달산에서 다도해 절경을 볼 수 있는 바위는 무엇인가?,mrc-1-000418,[WHAT]
30,아델리 펭귄의 목숨에 지장을 주는 사람의 업종은 무엇인가요?,mrc-0-003133,[WHAT]
31,이타미 역이 종착역이었을 때 존재했지만 지진 이후 없어진 것은?,mrc-0-004646,[WHAT]
32,석가모니 부처가 태어난 곳은 어디인가?,mrc-0-001058,[WHERE]
33,동맹을 맺음으로써 헝가리는 자유를 비롯해 무엇을 잃었나?,mrc-0-002361,[WHAT]
34,2001년까지 발견된 해왕성의 총 위성 갯수는?,mrc-0-004830,[HOW]
35,보덕이 전주 도달산에 세운 절은?,mrc-0-002762,[WHAT]
36,제2함대의 편에서서 다른 문제를 제기한 인물은?,mrc-0-000395,[WHO]
37,틸의 삼촌댁 방문을 걱정한 인물은?,mrc-0-001668,[WHO]
38,코코넛으로 인해 매년 사람이 죽는다는 설화를 인용한 인물은?,mrc-0-004487,[WHO]
39,8천 명의 시민들이 모여 대규모 시위를 벌인 지역은?,mrc-0-001086,[WHERE]
40,체임벌린에 의해 무역부의 회장 자리를 받게 된 사람은?,mrc-0-004413,[WHO]
41,철툇자루를 제작하는데 주로 활용된 재료는?,mrc-1-000221,[WHAT]
42,앙드레-귀스타브 시트로엥이 만든 기업 이름은?,mrc-0-002177,[WHO]
43,논문으로 플라톤주의의 허점을 언급한 사람은?,mrc-0-003223,[WHO]
44,유로니우스를 살해한 용의자가 소속된 밴드의 국적은?,mrc-0-000624,[WHERE]
45,여운형이 경성헌병대에서 풀려난 날짜는?,mrc-0-004318,[WHEN]
46,엔도에게 차키를 돌려주려던 사람은？,mrc-0-002764,[WHO]
47,워렌이 스스로 영화를 제작할 수 있음을 입증하여 승부에서 이긴 상대는 누구인가?,mrc-0-001725,[WHO]
48,지브롤터 내셔널리그의 설립에 영향을 준 개편안이 발표된 시기는?,mrc-0-004445,[WHEN]
49,안영애를 본보기로 만든 <당의 참된 딸>이라는 가극에서 극 중 여자 주연의 이름은?,mrc-0-000001,[WHO]
50,횡령 범죄자 조니를 체포한 요원은 누구인가?,mrc-0-005411,[WHO]
51,자신이 고안한 14개조 평화원칙을 국제 사회에 발표하고 싶어한 인물은?,mrc-1-001280,[WHO]
52,동인이 본격적인 세력을 잡은 때는?,mrc-0-003385,[WHEN]
53,미나미 칸토 대회에서 구마가야 고등학교의 1차전 상대 학교는?,mrc-1-001555,[WHERE]
54,독일에서 외국 영화를 상영할 수 없게 된 연도는?,mrc-0-000854,[WHEN]
55,팔과 다리가 밋밋한 형태인 신체표현은 어떤 시기를 반영한 것인가요?,mrc-0-000504,[WHAT]
56,19세기 후반의 장갑함에 사용된 화포 형식은?,mrc-0-000988,[WHO]
57,불상에 대한 정보가 적혀있는 것은?,mrc-0-003763,[WHAT]
58,제2군에 참여한 일본의 유명인사 중 군인 신분으로 참여한 사람은 누구인가?,mrc-1-001619,[WHO]
59,연방군의 캘리포니아 기지보다 더 큰 규모의 기지는 어디에 있는가?,mrc-0-004880,[WHERE]
60,베토벤이 받았던 후원 요금을 칭하는 단어는 무엇인가요?,mrc-0-003177,[WHAT]
61,기븐 가의 첫째 아들은 누구인가?,mrc-1-001523,[WHO]
62,여호와가 기드온의 조상을 어디에서 구해냈는가?,mrc-1-001353,[WHERE]
63,핀란드의 원주민들이 부족사회에서 벗어난 것은 언제인가?,mrc-0-005278,[WHEN]
64,병으로 인해 피렌체의 수많은 사람들이 죽어갔음을 언급한 사람은?,mrc-0-003896,[WHO]
65,안드레우치오 디 피에트로를 몰래 지켜보던 인물은 어떤 지역 출신인가요?,mrc-0-000339,[WHERE]
66,1876년 일반 투표에서 틸던에 패배한 인물은?,mrc-0-001183,[WHO]
67,경영을 위해 기관지에 싣기도 하는 것은?,mrc-1-001155,[WHAT]
68,윌리엄 키드에게 공로장을 준 사람은?,mrc-0-000991,[WHO]
69,창원평야 구릉의 평평한 지형에서 발견된 흔적을 통해 성이 언제 지어졌다는 것을 알 수 있는가?,mrc-0-005328,[WHEN]
70,수증기가 물이 되는 과정에서 가해지는 것은?,mrc-0-002070,[WHAT]
71,1994년 FIFA 월드컵 당시 대한민국 축구 대표팀의 감독은 누구인가?,mrc-0-003298,[WHO]
72,나가시마에게 감독직을 맡아줄 것을 가장 열렬히 부탁했던 팀은?,mrc-0-002453,[WHO]
73,에이미는 서터에게 졸업 이후 어디에서 지내자고 권유하나요?,mrc-0-003274,[WHERE]
74,어머니를 죽음에 이르게 한 것은 아들이 무엇처럼 행동했기 때문인가?,mrc-0-004430,[WHY]
75,후지무라 감독 퇴진 요구서에 대한 내용을 보도한 언론은?,mrc-0-003455,[WHAT]
76,선라이즈의 애니메이션 작품 기획부는 야타테 하지메를 무엇으로 사용하는가?,mrc-0-003628,[WHAT]
77,여운형이 조동호와 함께 조직한 것은?,mrc-0-000432,[WHAT]
78,즈와쓰의 한계 오라력 값보다 필요 오라력 값이 낮은 기체는?,mrc-0-000540,[WHAT]
79,평행 진화의 결과로 마블고양이가 가지고 있는 것은?,mrc-0-000607,[WHAT]
80,연합 함대가 국지 경비 부대와 해상 호위 부대의 인재 육성을 경시해 일어난 결과는?,mrc-0-003540,[WHAT]
81,정주영이 쌀가게 배달원으로 일한 가게를 인수한 해는?,mrc-1-001466,[WHEN]
82,적이 항복 의사를 밝히며 다가오고 있음을 대대장에게 보고한 사람은?,mrc-0-004954,[WHO]
83,캐릭터의 다친 장면이 유일하게 나오지 않는 단계는?,mrc-0-004159,[WHAT]
84,미치류가 해안가를 통해 다른 곳으로 이동했다는 주장을 뒷받침하는 것은?,mrc-0-001235,[WHAT]
85,태풍 초이완의 경보는 어떤 순간부터 풀렸는가?,mrc-1-000813,[WHAT]
86,잘리어 왕조의 초대황제 이름은?,mrc-0-002445,[WHO]
87,야고보가 강압적으로 배교에 관해 설교당했던 장소는?,mrc-0-004336,[WHERE]
88,진시황이 죽은 이후 황제의 자리에 즉위한 인물은 누구인가?,mrc-0-001346,[WHO]
89,단색 배경에 추상적인 디자인을 쓰는 양식이 유행하던 시기는?,mrc-0-003364,[WHEN]
90,2010년 국가대표팀 훈련에 참가한 이다혜가 독일로 돌아가게 된 이유는?,mrc-0-001891,[WHY]
91,웃시야의 정예 전투 병력을 통솔하는 사람은?,mrc-0-000033,[WHO]
92,포도주 테이스팅에서는 공평한 평가를 위해 무엇을 진행하기도 하나요?,mrc-0-000201,[WHAT]
93,최고령 초등학생으로 기네스북에 올라있는 사람은?,mrc-0-003670,[WHO]
94,클린턴이 대통령 선거 초반에 내걸었던 정책은?,mrc-0-002224,[WHAT]
95,베르글룬트가 직장을 그만둔 후 그 자리를 이어받은 사람은?,mrc-0-000140,[WHO]
96,베트남전 진실위원회 이후에 세워진 단체의 대표는 누구인가요?,mrc-0-001124,[WHO]
97,첫 도입 당시 1013개가 있던 것은?,mrc-0-003870,[WHAT]
98,628년에 새롭게 왕위에 오른 사람은 누구인가요?,mrc-0-000386,[WHO]
99,전쟁에서 군인들의 삶을 보여주는 주요 등장인물은 누구인가요?,mrc-0-005260,[WHO]
100,셰이크 무지부르 라흐만의 딸이 처음으로 선거에서 졌던 해는?,mrc-0-004345,[WHEN]
101,산조 대금보다 약 2도 정도 음정이 높은 대금은?,mrc-1-000376,[WHAT]
102,소설 <형제>의 작가가 태어난 지역은?,mrc-0-001470,[WHERE]
103,예수의 테오토코스에 대해 부정적으로 인식했던 인물은?,mrc-1-000715,[WHO]
104,파라메스와르가 해적의 도움으로 세운 나라는?,mrc-0-002747,[WHERE]
105,온라인 사이트에 접속하지 못하게 하는 웹상에서의 시위는?,mrc-1-001341,[WHAT]
106,로마가 판노니아를 장악한 시기는?,mrc-0-003597,[WHEN]
107,"1980년부터 1985년 사이, 미국달러가 세계 중요 4대 통화에 대해 50% 정도 평가절상된 이유는?",mrc-0-003509,[WHY]
108,헌터가 조지아에서 지시한 사항은 무엇인가?,mrc-0-001335,[WHAT]
109,윤락행위등방지법이 전문 개정되었던 해는?,mrc-0-004402,[WHEN]
110,무엇이 창 아래에 설치되어 표시기가 한 개 늘어났는가?,mrc-1-001239,[WHAT]
111,베토벤의 귀 상태가 악화된 연도는?,mrc-1-000225,[WHEN]
112,기존의 공중 네트워크로 중요 문서와 데이터를 전송하는데에 문제가 되었던 것은?,mrc-0-003315,[WHAT]
113,1919년 정광조의 보직은?,mrc-0-004971,[WHAT]
114,잉글랜드에서 보리와 함께 가장 많이 경작하는 작물은 무엇인가요?,mrc-0-004538,[WHAT]
115,"동화사 석조비로자나불이 제작될 때, 당시 임금은 누구였는가?",mrc-0-001940,[WHO]
116,미자르는 무엇의 일부인가?,mrc-1-000573,[WHAT]
117,스트라디바리가 고령의 조짐을 보이기 시작한 해는?,mrc-0-005403,[WHEN]
118,공격적 현실주의와 대비되는 고전적 현실주의를 설파한 인물은?,mrc-0-002046,[WHO]
119,컴퓨터 시각에서 분할의 대상은?,mrc-0-001943,[WHO]
120,삼한총왕설의 근거를 제공한 서적은?,mrc-1-001141,[WHAT]
121,리자베타가 꿈 속에서 들었던 장소에 실제로 찾아가 발견한 것은?,mrc-0-002709,[WHAT]
122,현직 추밀원사무처장 웨인울터즈의 선임은?,mrc-0-000313,[WHAT]
123,진평공이 통치할 때 망해서 사라진 가문은?,mrc-0-003110,[WHAT]
124,트로이 군사들은 아킬레우스에 의해 어디에서 사망했나요?,mrc-0-003155,[WHERE]
125,세이드를 행하는 여성을 지칭하는 명칭은?,mrc-1-001242,[WHAT]
126,세니와 대국 사무관들은 어느 편과 힘을 합치기로 했는가?,mrc-0-004432,[WHAT]
127,공식적인 첫 새천년베이비의 이름은?,mrc-0-000755,[WHO]
128,레바논 전투에서 헤즈볼라는 누구에 대한 지지를 표명했나요?,mrc-1-001802,[WHO]
129,협동 화폐 거래소의 인정은 어느 부문에서 나타나는 변화인가?,mrc-0-001241,[WHAT]
130,조선역사를 수호하는데 위기를 제공한 사람은?,mrc-1-001457,[WHO]
131,1930년대 흑인음악으로 백인들의 열렬한 사랑을 받았던 재즈의 한 분야는?,mrc-0-000016,[WHAT]
132,여성의 몸치장에 쓰인 장신구의 위치가 저고리 밑으로 올라오게 된 때는 언제인가?,mrc-1-000695,[WHEN]
133,비자나무의 열매는 어떤 증상을 치료하기 위해 쓰이나요?,mrc-1-000908,[WHAT]
134,공소권이 사라질 경우 무엇에서 벗어나게 되는가?,mrc-0-001034,[WHAT]
135,드레이어 감독이 잔 다르크에 비유한 사람은?,mrc-1-001735,[WHO]
136,"""아오테아로아""의 기원에 관한 이야기마다 등장하는 인물은?",mrc-1-001179,[WHO]
137,용통의 위치는?,mrc-1-000521,[WHERE]
138,<바다의 일꾼들>이 나온 연도는?,mrc-1-000623,[WHEN]
139,일반비용과 특수비용을 더한 값을 총생산물로 나눴을 때 나오는 값은 무엇인가?,mrc-0-003953,[WHAT]
140,지금에도 여전히 진화압을 받고 있는 헤마글루티닌 유전자의 한 종류는?,mrc-0-002008,[WHAT]
141,질량을 킬로그램으로 정의하는 단위 규칙은 무엇인가?,mrc-0-001699,[WHAT]
142,해적중의 활동을 승인한 것은?,mrc-0-002374,[WHAT]
143,윤치호가 사촌동생을 통해 만나려고 했던 인물은?,mrc-1-000086,[WHO]
144,인쇄사전에서 쉽게 읽히게 하기 위해 사용하는 것은?,mrc-0-004490,[WHAT]
145,미자가 일을 때려친 것은 누구 때문인가?,mrc-1-000780,[WHO]
146,피렌체파의 대미를 수놓은 사람은?,mrc-0-000037,[WHO]
147,"고석포, 장군석, 할망바우라는 이름을 가진 바위는 무엇으로 유명한가?",mrc-0-003187,[WHAT]
148,법안에서 제재를 취소할 수 있는 권리가 발생하는 경우는 무엇인가?,mrc-1-000021,[WHAT]
149,영화 <제7의 봉인>의 제목의 모티브가 된 것은?,mrc-1-001634,[WHAT]
150,튀폰의 아버지는 누구인가?,mrc-1-000116,[WHO]
151,가톨릭 교회에서 주교에게 '최고사제'의 자격을 주는 직함의 이름은?,mrc-0-004669,[WHO]
152,아랑을 살해한 사람은?,mrc-0-002210,[WHO]
153,제1 공수 사단은 어느 나라 부대인가?,mrc-0-004266,[WHERE]
154,당의 군대를 몰살시킨 사람은?,mrc-1-000862,[WHO]
155,레빌 장군은 무엇이 없었기 때문에 실망했나?,mrc-0-001884,[WHAT]
156,이스다렌의 여인이 중심적으로 스파이 활동을 한 국가는?,mrc-0-003249,[WHERE]
157,헨리 5세가 1415년에 프랑스 북쪽을 공격하기 위해 동원한 군사는 몇 명인가?,mrc-0-001728,[HOW]
158,전반전이 6분이 지난 후 골을 넣은 선수는?,mrc-0-000986,[WHO]
159,천자등극설'을 대중들에게 확산시킨 행사는?,mrc-0-000970,[WHAT]
